day,eth_inflow,eth_outflow,netflow_eth
2025-11-11,216521.58561087569,341853.0614174329,-125331.47580655722
2025-11-12,589057.625756634,611313.9068635111,-22256.281106877024
2025-11-13,934615.38169455,835677.07535437,98938.30634017999
2025-11-14,970659.0097709546,1003620.901308377,-32961.89153742243
2025-11-15,411741.04140881303,363110.3360113054,48630.70539750764
2025-11-16,455216.0190555195,361372.124596664,93843.8944588555
2025-11-17,674747.6773760831,648145.6929409163,26601.984435166814
2025-11-18,910873.4839981389,846999.3788355154,63874.10516262357
2025-11-19,724199.6143438236,729288.3449420106,-5088.730598186958
2025-11-20,735119.4904381412,763548.6206925085,-28429.130254367366
2025-11-21,850827.2427188783,894444.8448818671,-43617.60216298874
2025-11-22,209739.42566596737,279481.8693565721,-69742.44369060473
2025-11-23,174794.47741386626,196637.40246694747,-21842.925053081213
2025-11-24,572658.1460588791,567610.8106422802,5047.335416598944
2025-11-25,482277.8440863784,600601.8202150903,-118323.97612871189
2025-11-26,471457.2519871629,501957.0429479076,-30499.790960744664
2025-11-27,293436.28319503204,334300.89947686566,-40864.616281833616
2025-11-28,347974.25808453903,364976.5536292544,-17002.295544715365
2025-11-29,206013.993907686,244948.33137325704,-38934.337465571036
2025-11-30,86695.18225936606,97320.86818073467,-10625.685921368611
2025-12-01,721568.0974559473,848215.830946229,-126647.73349028174
2025-12-02,633915.821028663,635170.8007065417,-1254.9796778787859
2025-12-03,545210.3154981814,588644.3861951203,-43434.0706969389
2025-12-04,504257.0746132414,480260.5285984507,23996.546014790714
2025-12-05,525064.8423588842,417595.7431997609,107469.09915912326
2025-12-06,90868.36422480449,134598.46381532346,-43730.09959051896
2025-12-07,156155.34977605156,162339.6105668338,-6184.260790782253
2025-12-08,321108.48124249117,364235.68990978284,-43127.20866729168
2025-12-09,465867.45821113006,398070.19058808556,67797.26762304449
2025-12-10,570749.2783190048,594149.3805032069,-23400.102184202056
2025-12-11,247334.56686182486,271194.26733039547,-23859.700468570605
