day,sample_block_number,block_tx_count,block_gas_used,block_gas_limit,block_gas_used_ratio,block_base_fee_gwei
2025-11-11,23775553,229,32350519,45000000,0.7189004222222222,0.104599051
2025-11-12,23782708,78,6069292,45000000,0.13487315555555557,0.085546286
2025-11-13,23789845,246,18424523,45131746,0.4082386486886636,0.075539081
2025-11-14,23796987,174,11694026,45087802,0.25936119041686706,0.52886772
2025-11-15,23804153,172,15465883,44999914,0.3436869457128296,0.072943333
2025-11-16,23811307,199,16918200,45087716,0.37522858775991225,0.0841745
2025-11-17,23818454,187,12394715,45000000,0.2754381111111111,0.092062677
2025-11-18,23825568,226,29638940,44999871,0.6586449992267756,0.180562358
2025-11-19,23832691,256,36307968,45000000,0.8068437333333334,0.142597376
2025-11-20,23839812,155,17967375,45263964,0.3969465643795581,0.099771534
2025-11-21,23846949,185,16268096,45043944,0.3611605591197787,1.21155094
2025-11-22,23854048,195,16454614,45350202,0.3628344147177117,0.072585696
2025-11-23,23861150,137,12851183,45526648,0.28227826041574594,0.079214621
2025-11-24,23868281,225,45166112,45175733,0.999787031679154,0.080049829
2025-11-25,23875375,150,22627481,49332651,0.4586714993281022,0.087059019
2025-11-26,23882481,155,33732483,59765462,0.5644143267896097,0.056674068
2025-11-27,23889610,374,59926710,59941408,0.999754793881385,0.049977364
2025-11-28,23896734,258,42427822,60000000,0.7071303666666666,0.040637968
2025-11-29,23903881,234,59350765,59882588,0.9911189042130243,0.040575694
2025-11-30,23911038,181,19120002,59941351,0.3189784961636917,0.033488451
2025-12-01,23918193,261,27387081,60000000,0.45645135,0.03805912
2025-12-02,23925343,165,16775551,59940777,0.2798687611273374,0.048591729
2025-12-03,23932481,238,38839764,59941408,0.6479621566447021,0.035595221
2025-12-04,23939260,287,27793428,60000000,0.4632238,0.028239448
2025-12-05,23946315,134,59994499,60000000,0.9999083166666667,0.01957165
2025-12-06,23953401,219,50473136,59999943,0.8412197324920792,0.024173281
2025-12-07,23960518,155,29561693,59999943,0.4926953513939172,0.208982873
2025-12-08,23967647,207,59997096,60000000,0.9999516,0.303988041
2025-12-09,23974782,227,25497259,60000000,0.42495431666666666,0.254897213
2025-12-10,23981870,128,7096984,59999943,0.11828317903568675,0.167261281
2025-12-11,23988998,354,23291627,60000000,0.3881937833333333,0.128290791
